x [m],y [m],z [m],stn. height above GW table [m],dg/dH (x-component) [uGal/m],dg/dH (y-component) [uGal/m],dg/dH (z-component) [uGal/m],dg/dH [uGal/m]
2605957.0,1115619.0,2462.0,7.5,-0.6111122306783041,14.260797732034407,-28.357395050174638,31.747215061232563
2605977.0,1115619.0,2474.0,7.5,0.13457413979972863,15.02139009558569,-31.096346194226637,34.534663994804646
2605997.0,1115619.0,2484.0,7.5,0.7884012547663719,14.116171266159668,-29.82307713868872,33.00460267560037
2606017.0,1115619.0,2495.0,7.5,3.360146522079618,14.606898924613176,-27.622973715514707,31.427388655943496
2606037.0,1115619.0,2507.0,7.5,5.084321710954369,14.283278430672429,-28.08604778946403,31.916899135421218
2606057.0,1115619.0,2520.0,7.5,4.367266224089105,15.514784822556274,-17.192994460823428,23.566514822777616
2606077.0,1115619.0,2541.0,7.5,11.110034288132388,22.565450397219763,-31.766231855254752,40.51821688814384
2606097.0,1115619.0,2558.0,7.5,2.7152941379873674,24.656134562867734,-36.805810542533926,44.38429320751803
2606117.0,1115619.0,2569.0,7.5,0.30879411140990987,24.049022231950868,-34.12014831096041,41.744884056349264
2606137.0,1115619.0,2586.0,7.5,4.614862080388363,27.458661449580845,-38.64397849447476,47.63015971530152
2606157.0,1115619.0,2601.0,7.5,5.306198103253045,26.11993311003597,-46.78871318495717,53.8478442046467
2606177.0,1115619.0,2611.0,7.5,0.5971865295872734,23.05756434807224,-54.60826678194525,59.27959772421467
2606197.0,1115619.0,2616.0,7.5,-13.213878734221096,3.6693280335552805,-58.87323821249949,60.449389881505375
2606217.0,1115619.0,2610.0,7.5,-16.905524951091074,-5.14016736772065,-44.36738614893235,47.756497444103005
2606237.0,1115619.0,2605.0,7.5,-16.335127642903885,-1.1053146472803503,-34.97842978983657,38.62057309442704
2606257.0,1115619.0,2606.0,7.5,-17.834225296210384,2.237532594079602,-34.644411780321924,39.02949412470097
2606277.0,1115619.0,2610.0,7.5,-19.276909175674387,3.295183093482179,-35.42006267967665,40.4603299445147
2606297.0,1115619.0,2614.0,7.5,-20.237833346476148,3.3051538049677776,-36.212619132483255,41.615474581801024
2606317.0,1115619.0,2619.0,7.5,-23.726057829468655,0.2572777143982767,-39.0811297128602,45.72009089648687
2606337.0,1115619.0,2615.0,7.5,-24.239653515734904,-1.4141544948186395,-24.645706220122143,34.59727547924349
2606357.0,1115619.0,2620.0,7.5,-27.8192940937728,-9.114776029523748,-32.381357453878564,43.6525437574955
2606377.0,1115619.0,2603.0,7.5,-13.02360774915188,-8.032497517789773,-17.701176621710832,23.39801335519898
2606397.0,1115619.0,2599.0,7.5,-11.574142286283603,2.8048745480475272,-19.74528412863519,23.05871497317133
2606417.0,1115619.0,2603.0,7.5,-13.793776547751717,4.667693531012284,-25.550047963389808,29.408512122857875
2606437.0,1115619.0,2607.0,7.5,-15.386026791668689,4.585481880269353,-28.09303722140072,32.35699622695579
2606457.0,1115619.0,2610.0,7.5,-15.86459729608545,4.4186485898754695,-29.350474879718124,33.655018621191324
2606477.0,1115619.0,2614.0,7.5,-16.30481327154186,3.892919704853915,-31.19807163850313,35.41640063035007
2606497.0,1115619.0,2616.0,7.5,-16.421858150374756,1.3677344231274264,-30.802653394141203,34.93353086481291
2606517.0,1115619.0,2617.0,7.5,-15.647612189232714,-0.7973599391687,-30.658208576829296,34.42977349965557
2606537.0,1115619.0,2616.0,7.5,-11.642728216963159,-2.549111370954437,-28.192405402661716,30.60821477158753
2606557.0,1115619.0,2615.0,7.5,-6.623379958032724,-0.08376005136713713,-22.726953625828692,23.67257060239218
2606577.0,1115619.0,2621.0,7.5,-8.977067883633698,8.522057864066158,-21.64595432374347,24.935126962007793
2606597.0,1115619.0,2630.0,7.5,-20.528547157854423,2.522926361568809,-26.244836520596646,33.415233798837846
2606617.0,1115619.0,2631.0,7.5,-12.801819879635433,7.116081308510123,-21.702060438157265,26.18214339356858
2606637.0,1115619.0,2638.0,7.5,-13.161535951642714,7.604520707350974,-23.94810851017211,28.364884364472406
2606657.0,1115619.0,2649.0,7.5,-14.134004329513026,12.975530640398748,-25.00135831352771,31.515113696574552
2606677.0,1115619.0,2662.0,7.5,-19.203061483831497,15.529006672340467,-29.17352432500875,38.223057702429884
2606697.0,1115619.0,2669.0,7.5,-22.526868611812546,11.294002735758626,-28.65125805708231,38.156374244714506
2606717.0,1115619.0,2679.0,7.5,-25.24046299592796,14.19475946913005,-38.10684627838275,47.86129858162604
2606737.0,1115619.0,2680.0,7.5,-23.839968508481164,-1.949150858486464,-36.34183332173603,43.50715040932186
2606757.0,1115619.0,2676.0,7.5,-19.51331848433108,3.6932795062787713,-27.08003449776877,33.58181323548183
2606777.0,1115619.0,2685.0,7.5,-23.8139424147566,12.887010111507076,-32.00683276009629,41.9239338120864
2606797.0,1115619.0,2695.0,7.5,-33.632817964805234,8.188051482009127,-38.45014866104934,51.73610502717181
2606817.0,1115619.0,2696.0,7.5,-30.061147141565524,-6.1017479083907835,-36.30090020882099,47.52535377012131
2606837.0,1115619.0,2691.0,7.5,-22.260052968502247,11.906877308186138,-26.797651560328383,36.8157278149094
2606857.0,1115619.0,2699.0,7.5,-31.844534514998085,4.487269246860144,-35.45401941768946,47.86645439805024
2606877.0,1115619.0,2701.0,7.5,-29.20540102619421,-1.693014408154756,-36.42251566545094,46.716393207171556
2606897.0,1115619.0,2689.0,7.5,-18.85809331121478,-8.068198649385337,-21.691165179666392,29.85347818315311
2606917.0,1115619.0,2696.0,7.5,-18.531310649675696,16.943764366657362,-21.950186544347545,33.35133152723063
2606937.0,1115619.0,2712.0,7.5,-32.650392514123126,13.81080890840875,-37.649932878617214,51.713673431649305
2605957.0,1115639.0,2462.0,7.5,-0.6403402227211672,14.43629108610744,-29.130297882074785,32.51754588867478
2605977.0,1115639.0,2474.0,7.5,-0.29504876899975435,16.154310640043356,-30.516001687189792,34.52933774348527
2605997.0,1115639.0,2487.0,7.5,2.084044312363015,17.744476911558568,-31.69082642637614,36.380189405051595
2606017.0,1115639.0,2500.0,7.5,1.4588364046078894,19.433182275842853,-33.40045478279922,38.66997745951448
2606037.0,1115639.0,2512.0,7.5,2.7454599349650866,17.375749257099606,-32.910445133471384,37.316907848632454
2606057.0,1115639.0,2526.0,7.5,1.529905296664281,20.658315087286027,-27.378998843514236,34.33243612293635
2606077.0,1115639.0,2542.0,7.5,-0.4067411659789582,22.359446623962278,-32.07897504976539,39.10461522569159
2606097.0,1115639.0,2557.0,7.5,-0.799387296470511,23.819295526688542,-35.39989732936011,42.67494101187159
2606117.0,1115639.0,2573.0,7.5,1.5908231535270705,24.231721774463367,-38.85283071406128,45.81756773287189
2606137.0,1115639.0,2588.0,7.5,-0.6780042540188108,28.845647142941466,-39.35585705482743,48.79973907085533
2606157.0,1115639.0,2609.0,7.5,3.8303928348700857,31.285523471502252,-52.078855333743824,60.87415757961962
2606177.0,1115639.0,2616.0,7.5,3.560180879853618,10.899096279760085,-65.26576979875361,66.2652691463383
2606197.0,1115639.0,2611.0,7.5,-12.046051030499301,-9.833115138866715,-53.748623701063615,55.95276622761506
2606217.0,1115639.0,2602.0,7.5,-12.964461229522525,-7.2493853429558355,-41.96577015634319,44.51692608028412
2606237.0,1115639.0,2595.0,7.5,-11.914909427052486,-4.577122519546601,-33.12807220827044,35.50189129398862
2606257.0,1115639.0,2595.0,7.5,-13.935679320350927,0.5932481911829968,-33.23626865712642,36.044481627354315
2606277.0,1115639.0,2597.0,7.5,-15.271854034895876,1.9708417948000172,-33.8685813385659,37.204765083660334
2606297.0,1115639.0,2601.0,7.5,-17.274111637042957,3.6068927762146976,-36.13927244122612,40.21755364177809
2606317.0,1115639.0,2604.0,7.5,-21.475312741295717,-5.511817286581994,-36.00374816441166,42.28284603741213
2606337.0,1115639.0,2594.0,7.5,-12.369316482746045,-8.539470535834084,-20.55076384339661,25.460880617719585
2606357.0,1115639.0,2595.0,7.5,-20.52893512759955,-0.7435195384257238,-23.31748701017902,31.075636747250712
2606377.0,1115639.0,2590.0,7.5,-14.23949448998476,-4.646894348426175,-22.415996533911645,26.9598540616243
2606397.0,1115639.0,2588.0,7.5,-11.699772677971751,5.770675968718321,-23.254963092581463,26.66418366066142
2606417.0,1115639.0,2592.0,7.5,-13.275970085810963,4.7614482582880475,-28.30470876834072,31.62403057322526
2606437.0,1115639.0,2595.0,7.5,-13.895077799333576,4.479238145396609,-29.05931978330875,32.520467826913375
2606457.0,1115639.0,2600.0,7.5,-15.058104252888201,5.201256662071126,-30.870782167077227,34.73909564399629
2606477.0,1115639.0,2603.0,7.5,-16.442450003144888,3.146921755655816,-31.444639907512485,35.623344278089135
2606497.0,1115639.0,2605.0,7.5,-16.553365718406102,1.3104881973624578,-31.279657034529244,35.41395544302421
2606517.0,1115639.0,2605.0,7.5,-16.044953909082405,0.47758095351656266,-30.02560348617749,34.04710698753852
2606537.0,1115639.0,2606.0,7.5,-14.3823777611557,-0.5873069408683121,-29.38828118818018,32.72413162641483
2606557.0,1115639.0,2607.0,7.5,-11.1644223584768,3.9867978069970054,-27.657005870067156,30.090677244775698
2606577.0,1115639.0,2612.0,7.5,-14.923173932183813,3.3394523123608617,-28.849708844209133,32.65208664622188
2606597.0,1115639.0,2613.0,7.5,-11.035684740576237,2.238874728696334,-22.907977509499695,25.52595407266741
2606617.0,1115639.0,2620.0,7.5,-11.490575025673552,8.885832623023514,-24.786225165389006,28.728875609295695
2606637.0,1115639.0,2627.0,7.5,-12.992513234357112,8.119699111577757,-25.727050283666358,29.94354738680436
2606657.0,1115639.0,2637.0,7.5,-14.130693333401593,11.673973033934113,-26.359330464889315,32.10564503380835
2606677.0,1115639.0,2647.0,7.5,-18.55544988249488,10.994734507539318,-27.37138598700361,34.84797954089437
2606697.0,1115639.0,2656.0,7.5,-17.43195931717229,14.229389513866284,-29.745161771346023,37.29776642610684
2606717.0,1115639.0,2665.0,7.5,-26.731832603522555,7.131677532118641,-35.45236422256486,44.97023268490251
2606737.0,1115639.0,2661.0,7.5,-20.273199506409128,0.37150731736747405,-24.066643337464853,31.469730813056955
2606757.0,1115639.0,2664.0,7.5,-16.86460563739515,9.762406921931655,-29.05794431690084,34.98690669576762
2606777.0,1115639.0,2671.0,7.5,-22.33898430920369,5.004435274367346,-33.61230335840221,40.66769638717489
2606797.0,1115639.0,2673.0,7.5,-21.24660766833365,-0.03595901409279839,-30.473729359449987,37.14926394339184
2606817.0,1115639.0,2670.0,7.5,-17.892515042312695,-2.552482969408399,-24.287798375529388,30.274649688788706
2606837.0,1115639.0,2674.0,7.5,-22.28994820650573,4.261485016703869,-25.243510299863203,33.94461456336777
2606857.0,1115639.0,2675.0,7.5,-21.225074313727674,1.2925355609238722,-23.010281349596777,31.33125397406105
2606877.0,1115639.0,2675.0,7.5,-20.62386788995428,1.6272420261437914,-21.603149537807024,29.911334194695957
2606897.0,1115639.0,2673.0,7.5,-17.90519541890363,-2.058513161795924,-18.007911514663935,25.47780164273167
2606917.0,1115639.0,2680.0,7.5,-16.37051947077525,12.671685576503338,-19.090886696419282,28.16074356170861
2606937.0,1115639.0,2691.0,7.5,-25.60484519326704,7.006554776189623,-26.74502524736885,37.68283803915667
2605957.0,1115659.0,2462.0,7.5,-0.7855296134652823,15.755057437483929,-30.127649081647675,34.00755990686416
2605977.0,1115659.0,2475.0,7.5,0.14189404542115105,18.063723318690865,-32.99914616522697,37.619966529601754
2605997.0,1115659.0,2488.0,7.5,-1.3334573469112987,18.020010194624327,-34.79971434930009,39.21121006425686
2606017.0,1115659.0,2500.0,7.5,-2.4408136728973218,19.077640158945027,-30.394075806630003,35.96823278337658
2606037.0,1115659.0,2515.0,7.5,1.108083064866564,18.28519411246108,-33.447026504501984,38.135020044597894
2606057.0,1115659.0,2528.0,7.5,2.5036125322153997,21.019585864751956,-29.623819992886748,36.40963851246127
2606077.0,1115659.0,2543.0,7.5,2.828000274471877,21.966806304716442,-33.30434019704287,39.996465353099744
2606097.0,1115659.0,2557.0,7.5,0.5072766542726158,22.99397652521111,-35.13924153983473,41.99698301117327
2606117.0,1115659.0,2572.0,7.5,-3.3630343273772447,24.725253792245635,-38.16275519953813,45.59653560741155
2606137.0,1115659.0,2589.0,7.5,-3.680914792145942,28.13446105402688,-41.213328290064915,50.03634140554502
2606157.0,1115659.0,2610.0,7.5,-6.8732637949999695,35.097218655283996,-53.825355710596064,64.62372188217473
2606177.0,1115659.0,2620.0,7.5,-13.346328319405272,4.714127872510654,-65.90849325817247,67.41125250854122
2606197.0,1115659.0,2602.0,7.5,-12.09457389881245,-10.590614736745653,-41.787614121911915,44.773256887318595
2606217.0,1115659.0,2594.0,7.5,-13.177784390179344,-8.282340729771335,-40.24989503955615,43.15443453566934
2606237.0,1115659.0,2587.0,7.5,-11.157970485277191,-6.619067232249189,-33.03479351048776,35.49098390656303
2606257.0,1115659.0,2585.0,7.5,-12.526184831439632,-0.38542671333288564,-32.25423843915354,34.6033200354028
2606277.0,1115659.0,2587.0,7.5,-13.998000745252067,2.2208879030917035,-34.00836031194405,36.8435196343833
2606297.0,1115659.0,2591.0,7.5,-17.369827681790856,1.18933650436313,-37.66750936969881,41.496586572055136
2606317.0,1115659.0,2592.0,7.5,-18.801405436849322,-7.76391610272247,-38.9534382917481,43.94475616498432
2606337.0,1115659.0,2581.0,7.5,-7.559304619319076,-14.993396133646172,-23.596030640890785,28.96062285162305
2606357.0,1115659.0,2575.0,7.5,-10.017673513206056,-5.241984080927835,-20.58011158769441,23.481336688609634
2606377.0,1115659.0,2572.0,7.5,-7.668227731599531,2.634698943688526,-20.02238341384439,21.601833085146648
2606397.0,1115659.0,2577.0,7.5,-10.575496603756859,6.124690649525385,-25.359389570136365,28.150516928440187
2606417.0,1115659.0,2582.0,7.5,-13.834199178644733,5.112261266180836,-29.41047447179479,32.90131138456643
2606437.0,1115659.0,2585.0,7.5,-14.410182963752025,4.272228740358142,-29.89657594771359,33.462076517397385
2606457.0,1115659.0,2589.0,7.5,-15.62893571561458,4.9845908000433194,-31.31830244616076,35.35457318588203
2606477.0,1115659.0,2592.0,7.5,-16.114371400150702,2.8526743534782995,-31.82135474495202,35.78280780476943
2606497.0,1115659.0,2593.0,7.5,-16.24244278423075,1.1172024684174346,-31.183395760070287,35.17768127781615
2606517.0,1115659.0,2594.0,7.5,-15.246224228225227,0.6188533260932971,-29.89900326782465,33.567554707871224
2606537.0,1115659.0,2595.0,7.5,-14.152074242315136,0.811805149391835,-28.429603978287766,31.767634714011276
2606557.0,1115659.0,2596.0,7.5,-13.009425786974031,1.9886824346467873,-27.73362253602108,30.697782266853636
2606577.0,1115659.0,2599.0,7.5,-12.76678673432732,2.4961712439759682,-25.828788275357233,28.919682193486842
2606597.0,1115659.0,2603.0,7.5,-11.486117015265666,5.952994331161721,-26.57450577533078,29.556274846440104
2606617.0,1115659.0,2610.0,7.5,-13.117243615660842,7.691682999768518,-28.213726391670594,32.050560437308626
2606637.0,1115659.0,2617.0,7.5,-13.050340789534424,8.547953660304001,-27.306103387989282,31.448405185911263
2606657.0,1115659.0,2625.0,7.5,-16.27772754243617,9.492335174658798,-28.681006581818295,34.317181987455704
2606677.0,1115659.0,2633.0,7.5,-14.351438805918566,13.518972763266195,-25.848865905487497,32.509849107214144
2606697.0,1115659.0,2647.0,7.5,-20.82174375295393,12.779921017107396,-35.82902559464099,43.36577532085203
2606717.0,1115659.0,2648.0,7.5,-23.37883382268059,3.4200987794258397,-31.584904434576575,39.444557732479126
2606737.0,1115659.0,2646.0,7.5,-16.089516462653563,4.157993538994202,-25.355923206497437,30.316403017609346
2606757.0,1115659.0,2654.0,7.5,-20.3355371588137,8.068888554019196,-33.08691223001321,39.66591477517281
2606777.0,1115659.0,2656.0,7.5,-20.7863439979152,3.078467500241681,-31.06328827730965,37.503025711920266
2606797.0,1115659.0,2658.0,7.5,-20.713875225110048,0.625728966002631,-31.030438631857386,37.31412983396223
2606817.0,1115659.0,2654.0,7.5,-15.547547697163182,-2.6614702388879574,-24.870990827542105,29.451245270306213
2606837.0,1115659.0,2655.0,7.5,-15.699339545879567,1.6477851562802381,-25.434127714049296,29.934583856680653
2606857.0,1115659.0,2656.0,7.5,-14.850858104801542,1.3438345478195748,-24.84676861720954,28.97784996265272
2606877.0,1115659.0,2657.0,7.5,-15.217000444596573,-0.627867880742046,-23.040537623176895,27.619154486905455
2606897.0,1115659.0,2655.0,7.5,-9.753071530390528,0.8554881423102976,-18.126332990321774,20.60141286209699
2606917.0,1115659.0,2662.0,7.5,-14.829071035455332,8.398798405547739,-18.2940827547506,25.002292420281684
