x [m],y [m],z [m],stn. height above GW table [m],dg/dH (x-component) [uGal/m],dg/dH (y-component) [uGal/m],dg/dH (z-component) [uGal/m],dg/dH [uGal/m]
2605957.0,1115619.0,2462.0,2.5,-0.6148616470707858,16.224207130979224,-29.384410428777215,33.57151364059694
2605977.0,1115619.0,2474.0,2.5,0.22078479077631585,17.54697172344052,-33.44740799398685,37.771339188639786
2605997.0,1115619.0,2484.0,2.5,0.8201192309964039,15.236157668917274,-31.10520242652971,34.646020176357155
2606017.0,1115619.0,2495.0,2.5,2.2479690577123135,13.674762845871012,-25.539470083739563,29.057133993797017
2606037.0,1115619.0,2507.0,2.5,6.578541315510869,13.796514621007052,-26.835269579318588,30.882887088519535
2606057.0,1115619.0,2520.0,2.5,2.1894290502272984,6.89681813928637,-13.489719193459207,15.307913768072725
2606077.0,1115619.0,2541.0,2.5,16.49454390602469,12.734511494826418,-26.7527750850406,33.91089406710492
2606097.0,1115619.0,2558.0,2.5,3.250439106777131,23.015509113514984,-35.46259957481876,42.40135590691756
2606117.0,1115619.0,2569.0,2.5,1.600670019033834,19.75309018618534,-24.969346728659886,31.878127179453994
2606137.0,1115619.0,2586.0,2.5,7.532632779380299,24.56337623625056,-31.526774348313733,40.66985996437762
2606157.0,1115619.0,2601.0,2.5,7.950177248938068,23.83567843288234,-41.80319218096086,48.77347395012633
2606177.0,1115619.0,2611.0,2.5,1.7472193660950983,24.00236485250307,-44.98208045048005,51.01523160468246
2606197.0,1115619.0,2616.0,2.5,-16.85780923167379,-4.79187493170737,-52.693146157889885,55.53121148930011
2606217.0,1115619.0,2610.0,2.5,-16.492141146415065,-9.706711638498392,-34.59259507193336,39.533006516542414
2606237.0,1115619.0,2605.0,2.5,-15.113578762340744,-1.6325392881746847,-25.81306110737407,29.956628169170493
2606257.0,1115619.0,2606.0,2.5,-16.87786579516478,1.8698044264819282,-27.405922549298328,32.24039567330127
2606277.0,1115619.0,2610.0,2.5,-18.414890442907357,3.0992345748390915,-29.110217119950573,34.584941603894926
2606297.0,1115619.0,2614.0,2.5,-19.29429527869661,3.352270080015886,-30.250533093116157,36.03612489445306
2606317.0,1115619.0,2619.0,2.5,-25.484111621103793,3.208258299456858,-37.0499464038299,45.08249543846902
2606337.0,1115619.0,2615.0,2.5,-20.452719685079114,-0.5181403752168929,-13.77038375754332,24.661826388061073
2606357.0,1115619.0,2620.0,2.5,-30.499528753023775,-13.280505249633988,-30.429082075706035,45.083501525637224
2606377.0,1115619.0,2603.0,2.5,-11.76282751891109,-7.619210989473305,-13.977307813170789,19.793474203532032
2606397.0,1115619.0,2599.0,2.5,-9.33100025329107,6.742266269400401,-18.905445436021086,22.134624173651176
2606417.0,1115619.0,2603.0,2.5,-14.74491265611016,6.650857076424341,-26.02683763905628,30.643802417081627
2606437.0,1115619.0,2607.0,2.5,-16.815688692371204,6.2211331147613675,-28.752037534807442,33.88435547318699
2606457.0,1115619.0,2610.0,2.5,-16.960134459335798,5.714315289646728,-29.83995503598596,34.79543758394057
2606477.0,1115619.0,2614.0,2.5,-16.947612840556143,5.9105997836070845,-33.098314314774036,37.65176199429365
2606497.0,1115619.0,2616.0,2.5,-17.379118326600892,1.991782259399116,-32.623988542544566,37.01790889289847
2606517.0,1115619.0,2617.0,2.5,-17.70303830237492,0.272586501768156,-33.728581847031855,38.09316345419775
2606537.0,1115619.0,2616.0,2.5,-13.747063157319023,-2.546345791396652,-32.002852647525,34.923462026550006
2606557.0,1115619.0,2615.0,2.5,-7.351729151124682,-0.9552024188666783,-24.669795773072728,25.759642013382525
2606577.0,1115619.0,2621.0,2.5,-6.154542688913317,9.40264246247034,-22.11788192475387,24.809046370710437
2606597.0,1115619.0,2630.0,2.5,-24.20387486674083,1.1093681817830578,-25.433868547619003,35.12748106006413
2606617.0,1115619.0,2631.0,2.5,-11.828445690882026,10.293260800325335,-20.600842317940334,25.88934239362408
2606637.0,1115619.0,2638.0,2.5,-13.703845649847354,7.13267561143458,-25.35011459075215,29.68667641783194
2606657.0,1115619.0,2649.0,2.5,-13.57770442987874,13.893961398314913,-24.60995650915557,31.353567266031185
2606677.0,1115619.0,2662.0,2.5,-17.42243491665555,17.224638459964133,-27.798901647737495,37.05412718338075
2606697.0,1115619.0,2669.0,2.5,-21.16082928557981,8.989174423683384,-24.588578535788212,33.66280064527431
2606717.0,1115619.0,2679.0,2.5,-23.257048406394304,18.708066743670003,-34.70154567785201,45.77203659763272
2606737.0,1115619.0,2680.0,2.5,-23.61465113021942,-8.48299443217546,-34.60328481209574,42.74342361492945
2606757.0,1115619.0,2676.0,2.5,-18.301428935629,2.4117356068968214,-21.945631014536428,28.676985377644478
2606777.0,1115619.0,2685.0,2.5,-21.84737637367251,13.328360714890627,-27.90257599149691,37.86167984546385
2606797.0,1115619.0,2695.0,2.5,-35.73169530706373,7.426004686951694,-29.054127305507944,46.64806436082992
2606817.0,1115619.0,2696.0,2.5,-35.02535776243138,-15.98310522008973,-30.37918035158321,49.04212411485449
2606837.0,1115619.0,2691.0,2.5,-16.228545198992354,15.587362746295023,-20.53847004365121,30.46572350025979
2606857.0,1115619.0,2699.0,2.5,-36.276199796817785,2.21393227275791,-30.405177616949384,47.385008111482286
2606877.0,1115619.0,2701.0,2.5,-33.83186709649741,-1.2639798736131638,-37.199407584444344,50.29899403556278
2606897.0,1115619.0,2689.0,2.5,-16.7110369377964,-13.406920838461566,-16.167794591901927,26.8403029765147
2606917.0,1115619.0,2696.0,2.5,-14.63999845142475,17.5949053346831,-13.944610215708183,26.802283530740656
2606937.0,1115619.0,2712.0,2.5,-35.50601277654957,10.104930305046754,-31.559460221069045,48.5673356197722
2605957.0,1115639.0,2462.0,2.5,-0.6220662426315241,15.86752582958907,-29.554842624222566,33.55076846967087
2605977.0,1115639.0,2474.0,2.5,-0.6372571430734518,17.41790420626717,-30.156128279308316,34.830755897671764
2605997.0,1115639.0,2487.0,2.5,3.637470180596869,19.417631901718483,-31.39948458819706,37.09721351247006
2606017.0,1115639.0,2500.0,2.5,0.3300005568743173,21.21316667823691,-33.01241635114791,39.241903295173344
2606037.0,1115639.0,2512.0,2.5,3.276585079508287,17.064415504530032,-32.6901171370389,37.02126476402211
2606057.0,1115639.0,2526.0,2.5,4.679703543514477,17.481278459497787,-23.362385740181736,29.551578457110036
2606077.0,1115639.0,2542.0,2.5,0.905617679983096,19.54600236653501,-26.819072898152253,33.198328617737594
2606097.0,1115639.0,2557.0,2.5,-0.07219015468754009,21.595633382689407,-32.09867830494288,38.687229695885094
2606117.0,1115639.0,2573.0,2.5,4.560114400293304,22.006593653584282,-36.73217847773541,43.06202205305676
2606137.0,1115639.0,2588.0,2.5,1.577533169536789,25.46512510062184,-29.9049590763327,39.309894233493466
2606157.0,1115639.0,2609.0,2.5,7.927061727434802,32.532026046698164,-43.75148494794756,55.09413273193518
2606177.0,1115639.0,2616.0,2.5,12.731338214016334,6.613703253314308,-60.84355990182361,62.512133421995536
2606197.0,1115639.0,2611.0,2.5,-13.826144930131887,-19.739762289990466,-40.32542168161616,46.97829427187092
2606217.0,1115639.0,2602.0,2.5,-11.215226611641674,-11.012963900836922,-34.99238218075827,38.360572108818474
2606237.0,1115639.0,2595.0,2.5,-9.476510666901552,-6.376576521441585,-24.166980031905936,26.730280702159472
