x [m],y [m],z [m],stn. height above GW table [m],dg/dH (x-component) [uGal/m],dg/dH (y-component) [uGal/m],dg/dH (z-component) [uGal/m],dg/dH [uGal/m]
2606297.0,1115739.0,2541.0,4.0,-0.2676740459237213,-1.9572906053091115,-5.282229150348114,5.639555009509158
2606317.0,1115739.0,2537.0,4.0,-0.18615188750264516,-0.9118250767460941,-23.19107638916076,23.209741523414124
2606337.0,1115739.0,2535.0,4.0,-4.400771686527677,-2.333092009665044,-25.649919228826043,26.129073198408832
2606357.0,1115739.0,2534.0,4.0,-6.460062677194204,2.014856439826978,-26.15725688244664,27.018403799645377
2606377.0,1115739.0,2536.0,4.0,-8.45706592420942,2.772265825834489,-28.802659189363393,30.14631981244366
2606397.0,1115739.0,2537.0,4.0,-8.599752004600662,2.7059150601498985,-29.167147524777008,30.528678412035536
2606417.0,1115739.0,2540.0,4.0,-9.782472616170272,5.194767574469473,-29.472158971651197,31.484766714860072
2606437.0,1115739.0,2543.0,4.0,-13.615216581577736,2.731479667552183,-31.713362800044433,34.62040559879047
2606457.0,1115739.0,2545.0,4.0,-13.869730752536913,2.628661860686957,-31.270544048092976,34.309273081623594
2606477.0,1115739.0,2547.0,4.0,-13.342135268123323,1.9107449108696977,-31.433236144670477,34.20105048319325
2606497.0,1115739.0,2549.0,4.0,-12.441397907582532,5.165706802491098,-30.854281220703626,33.66689142630139
2606517.0,1115739.0,2553.0,4.0,-12.918828187585769,5.839092526888919,-33.11062665465176,36.01811656294185
2606537.0,1115739.0,2556.0,4.0,-14.728676257920206,2.496159950893001,-35.334195906431255,38.36235288880399
2606557.0,1115739.0,2557.0,4.0,-13.180863791703013,0.6119356654058122,-33.042567582713694,35.57978229292902
2606577.0,1115739.0,2557.0,4.0,-12.39966742648581,-0.27822477104740506,-31.079458923819928,33.46284399611139
2606597.0,1115739.0,2559.0,4.0,-13.455317844843053,2.5727837322628018,-27.36991231367854,30.606811243532057
2606617.0,1115739.0,2563.0,4.0,-13.593910014053218,5.365012820093382,-25.8322458071445,29.679667711594703
2606637.0,1115739.0,2569.0,4.0,-14.335725067191692,7.10887486517759,-27.145124648203517,31.510425373475485
2606657.0,1115739.0,2576.0,4.0,-15.586528213172812,10.284966915013607,-28.010220267105264,33.664415123312494
2606677.0,1115739.0,2583.0,4.0,-16.68767042563961,7.404560050344841,-31.845762760309146,36.707743863656646
2606697.0,1115739.0,2587.0,4.0,-14.808549396824882,6.8279689251378635,-31.161470933956387,35.17032222838824
2606717.0,1115739.0,2592.0,4.0,-14.157457587852488,8.187868313337457,-29.50271719943762,33.732552749805194
2606737.0,1115739.0,2598.0,4.0,-14.866836045477438,9.50677131627047,-30.626541811353743,35.34666290027347
2606757.0,1115739.0,2604.0,4.0,-15.773637409433478,9.687731436312935,-32.111084791879996,37.06455913696684
2606777.0,1115739.0,2611.0,4.0,-18.894575813220808,11.668931193471932,-34.68795818679671,41.18766069502477
2606797.0,1115739.0,2617.0,4.0,-25.119878533479323,-1.3422635993560978,-44.80395047195265,51.38291493288502
2606817.0,1115739.0,2608.0,4.0,-14.95070401024593,-8.627229253635997,-27.46444930397546,32.438381750133814
2606837.0,1115739.0,2604.0,4.0,-11.438701665523793,1.834764512950756,-23.92227835467593,26.579797935451595
2606057.0,1115759.0,2504.0,4.0,-16.05899292282142,12.88061608049615,-30.973973678062457,37.19124318596611
2606077.0,1115759.0,2511.0,4.0,-13.91953840617223,10.428071822707091,-27.600369561719457,32.623283576671604
2606097.0,1115759.0,2520.0,4.0,-11.240656993084466,12.988996786505856,-26.431145720850378,31.522561305719837
2606117.0,1115759.0,2530.0,4.0,-10.595309353830471,13.724431523028212,-25.416522280472094,30.767193660901096
2606137.0,1115759.0,2543.0,4.0,-10.387071955155454,18.176621167249625,-23.549981257783806,31.510037100918378
2606157.0,1115759.0,2555.0,4.0,-16.942080230070474,19.476068988133672,-28.44028473171316,38.40834728771343
2606177.0,1115759.0,2564.0,4.0,-16.51710018439046,14.858247665720903,-39.94970383523737,45.71171577090792
2606197.0,1115759.0,2570.0,4.0,-18.884046626445677,3.2588182631466927,-52.37777241313463,55.77327457146585
2606217.0,1115759.0,2566.0,4.0,-15.429034949136884,-3.2112325111752527,-41.2377504364833,44.14656492598485
2606237.0,1115759.0,2564.0,4.0,-14.617019909666327,-2.508883058404563,-42.35013821681783,44.87188398344676
2606257.0,1115759.0,2561.0,4.0,-6.421312216843466,-16.387991503726784,-42.10522443373668,45.63605417570345
2606277.0,1115759.0,2547.0,4.0,-2.3327731690327806,-15.420553885004939,-16.995008996661937,23.066548150408643
2606297.0,1115759.0,2536.0,4.0,0.9178471020680575,-5.633751725026714,-23.908449779495864,24.580390002208915
2606317.0,1115759.0,2532.0,4.0,-5.625246794253337,-3.902904118696889,-27.21274252710049,28.060816415462007
2606337.0,1115759.0,2528.0,4.0,-6.34324159981849,-3.207163692804533,-26.737812871018033,27.66646435798562
2606357.0,1115759.0,2528.0,4.0,-7.162469009687953,0.013936037133224246,-29.090689963775226,29.95946259692193
2606377.0,1115759.0,2528.0,4.0,-9.106158693531057,2.5106568251649852,-29.562498451947146,31.034929330786238
2606397.0,1115759.0,2530.0,4.0,-9.459096680449575,3.5181829542092404,-30.896490859338293,32.503003995485635
2606417.0,1115759.0,2533.0,4.0,-10.870899977799255,3.9311288554463983,-34.16197859386215,36.06481695299361
2606437.0,1115759.0,2535.0,4.0,-11.03681969328619,1.566019334617746,-33.25774591805642,35.07622369994389
2606457.0,1115759.0,2536.0,4.0,-11.238009610241416,1.9139718759957078,-32.647570499982784,34.58063053059223
2606477.0,1115759.0,2537.0,4.0,-10.834230313049023,2.134399281287063,-31.458103321382488,33.33989309141415
2606497.0,1115759.0,2540.0,4.0,-11.044288192645638,6.189675041567517,-32.32641896777925,34.71722543756648
2606517.0,1115759.0,2545.0,4.0,-14.209383208483,4.202745827735447,-35.52175021107734,38.48849674534249
2606537.0,1115759.0,2547.0,4.0,-14.569580222984861,2.818492384379484,-34.34716383135884,37.41582860839784
2606557.0,1115759.0,2548.0,4.0,-14.094348003017755,0.8132126753942107,-34.631100872257115,37.398196589007334
2606577.0,1115759.0,2549.0,4.0,-13.852115727912768,-1.1374008685666006,-32.55630282365367,35.39897801378938
2606597.0,1115759.0,2548.0,4.0,-11.723962040158602,-0.6663258971558816,-26.46121957997857,28.949808596606328
2606617.0,1115759.0,2552.0,4.0,-12.6349719141115,5.455660260234132,-26.31710402894544,29.698429396448233
2606637.0,1115759.0,2558.0,4.0,-12.997117721703306,6.578659237441669,-27.480302370719432,31.10258582208815
2606657.0,1115759.0,2564.0,4.0,-14.58108668527605,8.662682866634363,-27.243177788573668,32.091134280222136
2606677.0,1115759.0,2571.0,4.0,-16.987736874220985,9.122826942520172,-29.43184493717782,35.18583055630518
2606697.0,1115759.0,2576.0,4.0,-16.909090643556095,7.723314698300479,-30.043652486713796,35.32970408966659
2606717.0,1115759.0,2581.0,4.0,-14.523814902075607,7.587701187934799,-29.851814317578526,34.053564081874406
2606737.0,1115759.0,2587.0,4.0,-14.182624204324672,10.80047178975836,-31.59388521416688,36.276309116673026
2606757.0,1115759.0,2594.0,4.0,-15.72181134924065,9.3494942836421,-35.3927352606098,39.84010673540647
2606777.0,1115759.0,2598.0,4.0,-19.07593947710563,6.113013959533366,-33.08341766832293,38.675223738465284
2606797.0,1115759.0,2603.0,4.0,-24.31783039171033,5.009854086402247,-38.41379353696299,45.739206888920265
2606817.0,1115759.0,2597.0,4.0,-15.268021466230557,-7.233405314788298,-25.274074010043567,30.400879082790418
2606837.0,1115759.0,2595.0,4.0,-11.763476189539263,3.711650312074843,-28.224905688938275,30.802613870424093
2606057.0,1115779.0,2492.0,4.0,-13.777322502892021,10.995974020199105,-28.743477129860896,33.71814848885426
2606077.0,1115779.0,2500.0,4.0,-11.277648026602092,12.30511792817374,-26.99768975923535,31.740770699119867
2606097.0,1115779.0,2510.0,4.0,-10.987301128715156,12.631565798486792,-26.212017856298242,31.102204434950664
2606117.0,1115779.0,2520.0,4.0,-6.27140705159098,14.037724430437835,-20.963599528200696,25.997322146144835
2606137.0,1115779.0,2537.0,4.0,-4.629776580870474,25.437700507144893,-30.530779119848507,40.007998099691946
2606157.0,1115779.0,2549.0,4.0,-5.258217711811883,21.671334900429112,-37.36727071037714,43.515612488094185
2606177.0,1115779.0,2559.0,4.0,-8.60971530790221,19.598079447512625,-47.7087309334443,52.29086844750169
2606197.0,1115779.0,2562.0,4.0,-15.423470059187236,-1.2568378433006824,-50.14181464060956,52.47537179939028
2606217.0,1115779.0,2559.0,4.0,-11.580300364619742,-3.0766936685721,-42.64910245430176,44.30028601061817
2606237.0,1115779.0,2556.0,4.0,-10.801294274193205,-2.954975605309092,-40.298962227193904,41.82590340225171
2606257.0,1115779.0,2557.0,4.0,-20.114843455260388,-4.220241716800655,-46.8458159288058,51.156112414973556
2606277.0,1115779.0,2550.0,4.0,-3.9689227150671895,-27.22032930750406,-32.34172356413509,42.458047037352905
2606297.0,1115779.0,2535.0,4.0,-0.6219792497375035,-9.930851476955754,-29.7818270574722,31.400093823516542
2606317.0,1115779.0,2527.0,4.0,-2.2508464229491145,-8.45245811342439,-26.31334148626797,27.729087578783542
2606337.0,1115779.0,2522.0,4.0,-6.234965528951962,-2.9986741761479117,-25.04451047069834,25.982577752771846
2606357.0,1115779.0,2522.0,4.0,-7.634722660420223,-0.1100875708485326,-29.694266908203097,30.660244561816448
2606377.0,1115779.0,2521.0,4.0,-7.943282302629791,0.26469871678196294,-29.582259240142374,30.63128892000672
2606397.0,1115779.0,2523.0,4.0,-10.103407924710375,3.640207678678978,-31.575058488150773,33.35137601609799
2606417.0,1115779.0,2526.0,4.0,-11.215184295492307,3.6398966911565243,-34.04216950410888,36.02635856217819
2606437.0,1115779.0,2527.0,4.0,-11.475769112414063,1.0626502497873567,-34.659186256070875,36.52508308283257
2606457.0,1115779.0,2528.0,4.0,-11.541279842533383,1.5863555329621535,-33.18110576591841,35.16679462404401
2606477.0,1115779.0,2530.0,4.0,-11.17045953564169,2.8027876571929937,-31.94684506772115,33.95932411974215
2606497.0,1115779.0,2533.0,4.0,-12.43508558184099,5.438450469183189,-35.43123263236218,37.941802049745014
2606517.0,1115779.0,2536.0,4.0,-12.911919844226299,3.1010737386808107,-36.158815129605586,38.52004989578096
2606537.0,1115779.0,2538.0,4.0,-12.389961421154407,2.2057672516994042,-34.92243459912056,37.12078920923175
2606557.0,1115779.0,2539.0,4.0,-13.623532439532385,1.1491873211161634,-35.26126240013964,37.81901497502952
2606577.0,1115779.0,2539.0,4.0,-13.309917611002525,-1.414239642126589,-32.26830620769219,34.934189071601814
2606597.0,1115779.0,2539.0,4.0,-11.38674360547805,-1.621238482351236,-28.557371991094374,30.786520413831983
2606617.0,1115779.0,2542.0,4.0,-11.404258065098025,5.081134985260687,-25.755891039903982,28.622385610098952
2606637.0,1115779.0,2547.0,4.0,-11.766077995781306,7.371335798060679,-26.937136310451212,30.30489226937474
2606657.0,1115779.0,2554.0,4.0,-12.238095834986224,7.227930464368676,-31.29165650674846,34.36832459402683
2606677.0,1115779.0,2559.0,4.0,-12.07912746621691,6.9638631500780015,-28.2474436660061,31.501091790322413
2606697.0,1115779.0,2564.0,4.0,-12.67602805504996,8.474348143339826,-27.711981609697844,31.629893905025554
2606717.0,1115779.0,2571.0,4.0,-13.20307449311021,10.759160544066912,-32.06698241003332,36.30939372351196
2606737.0,1115779.0,2578.0,4.0,-14.374875206637318,10.37301899379297,-33.46507419186044,37.870143265093546
2606757.0,1115779.0,2584.0,4.0,-17.774365110757717,10.300502328179272,-38.071626967164754,43.26057308023432
2606777.0,1115779.0,2586.0,4.0,-17.75950105887622,1.1627399970249521,-32.86506701179682,37.37465012345671
2606797.0,1115779.0,2588.0,4.0,-23.351898928943466,-0.5966035639061447,-30.888671618885986,38.726956422877194
2606817.0,1115779.0,2584.0,4.0,-11.732467295379424,0.3175754837561062,-24.50048375768561,27.166621935486333
2606837.0,1115779.0,2586.0,4.0,-13.913462659463743,3.4857221658981588,-30.552147916904772,33.75156951210646
2606057.0,1115799.0,2482.0,4.0,-8.355280742433218,13.263100734940384,-29.469960302021438,33.379621291931564
2606077.0,1115799.0,2492.0,4.0,-10.11905759647281,13.859945200940333,-30.714375572376568,35.18332381135708
2606097.0,1115799.0,2503.0,4.0,-9.66094869732536,15.439104542841982,-27.78887140648743,33.22531042538883
2606117.0,1115799.0,2517.0,4.0,-8.819464911312185,20.22038985686021,-28.235369628716317,35.83131626601956
2606137.0,1115799.0,2534.0,4.0,-13.03425024749502,26.055547895797247,-34.501240618153986,45.15660372366668
2606157.0,1115799.0,2546.0,4.0,-14.730439803945385,22.525136568308096,-42.51434913447135,50.317367941559844
2606177.0,1115799.0,2554.0,4.0,-23.87637670683554,13.011176930734791,-50.63552245244267,57.474587634896785
