Station,2019 delta g,x [m],y [m],z [m],eff. depth [m],beta (x-component) [uGal/m],beta (y-component) [uGal/m],beta (z-component) [uGal/m],beta [uGal/m],theta_beta,delta H (using new beta),delta H (beta=41.93)
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,9.23,-2.1491288536763506,4.446899276739355,-30.503792538115473,30.901052202401754,9.19717820917224,-3.10065098829325,-2.2557027064154545
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,10.48,-2.0201879571772947,4.3433804506934655,-29.935031622296233,30.31587424683092,9.09140612343873,-3.1595628718011324,-2.2557027064154545
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,2.98,0.2053090811683435,5.535821146148919,-36.265933704889164,36.68658358403486,8.68480805238605,-3.434367649638339,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,4.23,0.34568570936574955,5.425932750733314,-35.88348929326314,36.293044081268114,8.615712313880758,-3.470970966120161,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,5.48,0.45065403116779473,5.282149338954858,-35.503674015464895,35.8972848456708,8.492547472743803,-3.5081031176026336,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,6.73,0.5098148146362622,5.088191412521674,-35.05549816233068,35.42650920433526,8.299398478312794,-3.552953346241057,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,7.98,0.5721819091484246,4.8408262476908455,-34.537081672297774,34.87937788058233,8.033598449877754,-3.6062847081808345,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,9.23,0.6568899407834751,4.572026435381706,-33.99338009907728,34.305754920719565,7.737884537113015,-3.663964840712643,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,10.48,0.8048936628572183,4.372535772340748,-33.50793160235147,33.80160355895518,7.558143823397691,-3.717046786954152,-2.970440007154782
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,2.98,-0.4043468640939573,6.632674523174258,-36.364444453446936,36.96658880833739,10.355582528986561,-2.403728338044623,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,4.23,-0.21009002890382725,6.139749165034557,-35.37547946483783,35.90494680398441,9.851791486774989,-2.4709275168095792,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,5.48,-0.09267868805052284,5.597478785773872,-34.43206104280346,34.884196790979026,9.234808284976786,-2.538629491895297,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,6.73,-0.016194634093890103,5.07012192511885,-33.570458917560885,33.95117244716871,8.588475213270112,-2.6037846502084974,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,7.98,0.11697344114225658,4.662642705442245,-32.82213445653385,33.15186917908752,8.087728882204765,-2.663149337400858,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,9.23,0.33465712188325897,4.414411630375406,-32.23694384791699,32.539507895562494,7.81948038593977,-2.711492939354674,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,10.48,0.5772352064299405,4.247008785806856,-31.757722115606747,32.0456424195609,7.686258547710016,-2.7524091719111006,-2.084670775816838
