x [m],y [m],z [m],stn. height above GW table [m],dg/dH (x-component) [uGal/m],dg/dH (y-component) [uGal/m],dg/dH (z-component) [uGal/m],dg/dH [uGal/m]
2605957.0,1115619.0,2462.0,10.0,-0.634844477363028,14.025695808548198,28.581036206698855,31.84334783079499
2605977.0,1115619.0,2474.0,10.0,0.03593414904635136,14.642909602150905,30.837151672699736,34.13716473529867
2605997.0,1115619.0,2484.0,10.0,0.7671901561799621,14.123305174381457,29.88800079730028,33.065827094507576
2606017.0,1115619.0,2495.0,10.0,3.1847347976123257,14.822125364855662,28.668960120669272,32.43065232867118
2606037.0,1115619.0,2507.0,10.0,4.375273498569478,14.480582918162598,28.70666877256214,32.44846886764707
2606057.0,1115619.0,2520.0,10.0,4.794820233046052,18.516585280023087,19.795833939715752,27.52688273067616
2606077.0,1115619.0,2541.0,10.0,7.75409157131753,23.250659778867117,33.11416766955832,41.197903061886876
2606097.0,1115619.0,2558.0,10.0,2.0888922911250303,24.228123207981326,37.115595139837396,44.37265856098061
2606117.0,1115619.0,2569.0,10.0,0.19015631568282287,24.399450345026246,36.500133163206264,43.904772604986626
2606137.0,1115619.0,2586.0,10.0,3.6613253563758863,27.439389206882538,40.411042365675335,48.98344341195737
2606157.0,1115619.0,2601.0,10.0,4.425167147178037,25.921727049064152,47.95399391673935,54.69098252960285
2606177.0,1115619.0,2611.0,10.0,-0.0667576481658727,21.683879439970056,56.026950474959,60.07673645991645
2606197.0,1115619.0,2616.0,10.0,-11.77565801006689,5.5888382669657535,58.88588187430902,60.311261957112364
2606217.0,1115619.0,2610.0,10.0,-16.671960268407133,-3.465964017654702,46.73875343856473,49.744127681103926
2606237.0,1115619.0,2605.0,10.0,-16.683275474571985,-0.6805543854022962,37.596642554671284,41.13760282534297
2606257.0,1115619.0,2606.0,10.0,-18.058123661998785,2.5170122424790633,36.63525851387813,40.92155113384034
2606277.0,1115619.0,2610.0,10.0,-19.41598315292678,3.55942685175127,37.14606509449419,42.0651883784217
2606297.0,1115619.0,2614.0,10.0,-20.343681730921432,3.4998262187469162,37.77249239234169,43.04503863931319
2606317.0,1115619.0,2619.0,10.0,-23.200961103203024,0.42575659682797534,39.067535464080315,45.43939031313312
2606337.0,1115619.0,2615.0,10.0,-24.831736376539286,-1.068881405110241,28.189117396192117,37.58169738727132
2606357.0,1115619.0,2620.0,10.0,-26.64475287360797,-7.781013699950394,33.249224196213625,43.31279186966055
2606377.0,1115619.0,2603.0,10.0,-14.065929498009472,-7.49361030836321,19.8631886560393,25.466661180492206
2606397.0,1115619.0,2599.0,10.0,-12.42581551008776,2.0129449378712794,21.00551162413808,24.488453544587887
2606417.0,1115619.0,2603.0,10.0,-13.952325179535649,4.218695566083993,26.157217317008826,29.944361538760976
2606437.0,1115619.0,2607.0,10.0,-15.313968567915612,4.332996243792205,28.6400698906511,32.7650132472002
2606457.0,1115619.0,2610.0,10.0,-15.818758799752548,4.235916809793867,29.9199510888114,34.10835080066331
2606477.0,1115619.0,2614.0,10.0,-16.28046252166506,3.6189969174564545,31.449665310519002,35.59820285845287
