d,x,y,z
32.24603604,606301.036,116277.486,2365.129883
32.91782845,606301.5366,116277.0381,2365.179932
33.58962087,606302.0373,116276.5901,2365.350098
34.26141329,606302.5379,116276.1422,2365.560059
34.93320571,606303.0386,116275.6942,2365.709961
35.60499812,606303.5392,116275.2463,2365.899902
36.27679054,606304.0399,116274.7984,2366.149902
36.94858296,606304.5405,116274.3504,2366.350098
37.62037538,606305.0412,116273.9025,2366.540039
38.29216779,606305.5418,116273.4545,2366.76001
38.96396021,606306.0425,116273.0066,2366.840088
39.63575263,606306.5431,116272.5586,2367.070068
40.30754504,606307.0438,116272.1107,2367.300049
40.97933746,606307.5444,116271.6627,2367.459961
41.65112988,606308.0451,116271.2148,2367.72998
42.3229223,606308.5457,116270.7668,2367.840088
42.99471471,606309.0464,116270.3189,2368.080078
43.66650713,606309.547,116269.8709,2368.290039
44.33829955,606310.0477,116269.423,2368.459961
45.01009197,606310.5483,116268.975,2368.610107
45.68188438,606311.049,116268.5271,2368.689941
46.3536768,606311.5496,116268.0791,2368.919922
47.02546922,606312.0503,116267.6312,2369.110107
47.69726164,606312.5509,116267.1832,2369.409912
48.36905405,606313.0515,116266.7353,2369.600098
49.04084647,606313.5522,116266.2874,2369.800049
49.71263889,606314.0528,116265.8394,2370
50.38443131,606314.5535,116265.3915,2370.179932
51.05622372,606315.0541,116264.9435,2370.379883
51.72801614,606315.5548,116264.4956,2370.550049
52.39980856,606316.0554,116264.0476,2370.620117
53.07160098,606316.5561,116263.5997,2370.889893
53.74339339,606317.0567,116263.1517,2371.040039
54.41518581,606317.5574,116262.7038,2371.280029
55.08697823,606318.058,116262.2558,2371.47998
55.75877065,606318.5587,116261.8079,2371.649902
56.43056306,606319.0593,116261.3599,2371.879883
57.10235548,606319.56,116260.912,2372.090088
57.7741479,606320.0606,116260.464,2372.27002
58.44594031,606320.5613,116260.0161,2372.280029
59.11773273,606321.0619,116259.5681,2372.459961
59.78952515,606321.5626,116259.1202,2372.639893
60.46131757,606322.0632,116258.6722,2372.820068
61.13310998,606322.5639,116258.2243,2372.959961
61.8049024,606323.0645,116257.7764,2373.199951
62.47669482,606323.5652,116257.3284,2373.449951
63.14848724,606324.0658,116256.8805,2373.570068
63.82027965,606324.5664,116256.4325,2373.709961
64.49207207,606325.0671,116255.9846,2373.939941
65.16386449,606325.5677,116255.5366,2374.060059
65.83565691,606326.0684,116255.0887,2374.26001
66.50744932,606326.569,116254.6407,2374.399902
67.17924174,606327.0697,116254.1928,2374.620117
67.85103416,606327.5703,116253.7448,2374.889893
68.52282658,606328.071,116253.2969,2375.090088
69.19461899,606328.5716,116252.8489,2375.179932
69.86641141,606329.0723,116252.401,2375.570068
70.53820383,606329.5729,116251.953,2375.73999
71.20999625,606330.0736,116251.5051,2375.810059
71.88178866,606330.5742,116251.0571,2375.830078
72.55358108,606331.0749,116250.6092,2376.080078
73.2253735,606331.5755,116250.1612,2376.209961
73.89716592,606332.0762,116249.7133,2376.379883
74.56895833,606332.5768,116249.2654,2376.620117
75.24075075,606333.0775,116248.8174,2376.860107
75.91254317,606333.5781,116248.3695,2377.060059
76.58433558,606334.0788,116247.9215,2377.320068
77.256128,606334.5794,116247.4736,2377.52002
77.92792042,606335.0801,116247.0256,2377.590088
78.59971284,606335.5807,116246.5777,2377.840088
79.27150525,606336.0813,116246.1297,2377.97998
79.94329767,606336.582,116245.6818,2378.100098
80.61509009,606337.0826,116245.2338,2378.320068
81.28688251,606337.5833,116244.7859,2378.639893
81.95867492,606338.0839,116244.3379,2379.25
82.63046734,606338.5846,116243.89,2379.350098
83.30225976,606339.0852,116243.442,2379.530029
83.97405218,606339.5859,116242.9941,2379.899902
84.64584459,606340.0865,116242.5461,2380.01001
85.31763701,606340.5872,116242.0982,2380.280029
85.98942943,606341.0878,116241.6502,2380.52002
86.66122185,606341.5885,116241.2023,2380.77002
87.33301426,606342.0891,116240.7544,2380.959961
88.00480668,606342.5898,116240.3064,2381.199951
88.6765991,606343.0904,116239.8585,2381.530029
89.34839152,606343.5911,116239.4105,2381.780029
90.02018393,606344.0917,116238.9626,2382.040039
90.69197635,606344.5924,116238.5146,2382.129883
91.36376877,606345.093,116238.0667,2382.360107
92.03556119,606345.5937,116237.6187,2382.679932
92.7073536,606346.0943,116237.1708,2382.780029
93.37914602,606346.5949,116236.7228,2383.159912
94.05093844,606347.0956,116236.2749,2383.5
94.72273086,606347.5962,116235.8269,2383.77002
95.39452327,606348.0969,116235.379,2383.969971
96.06631569,606348.5975,116234.931,2384.280029
96.73810811,606349.0982,116234.4831,2384.659912
97.40990052,606349.5988,116234.0351,2384.810059
98.08169294,606350.0995,116233.5872,2384.97998
98.75348536,606350.6001,116233.1392,2385.189941
99.42527778,606351.1008,116232.6913,2385.449951
100.0970702,606351.6014,116232.2434,2385.73999
100.7688626,606352.1021,116231.7954,2386.120117
101.440655,606352.6027,116231.3475,2386.330078
102.1124474,606353.1034,116230.8995,2386.540039
102.7842399,606353.604,116230.4516,2386.780029
103.4560323,606354.1047,116230.0036,2386.850098
104.1278247,606354.6053,116229.5557,2387.139893
104.7996171,606355.106,116229.1077,2387.320068
105.4714095,606355.6066,116228.6598,2387.550049
106.143202,606356.1073,116228.2118,2387.830078
106.8149944,606356.6079,116227.7639,2388.080078
107.4867868,606357.1086,116227.3159,2388.219971
108.1585792,606357.6092,116226.868,2388.399902
108.8303716,606358.1098,116226.42,2388.610107
109.502164,606358.6105,116225.9721,2388.850098
110.1739565,606359.1111,116225.5241,2388.949951
110.8457489,606359.6118,116225.0762,2389.179932
111.5175413,606360.1124,116224.6282,2389.429932
112.1893337,606360.6131,116224.1803,2389.580078
112.8611261,606361.1137,116223.7324,2389.76001
113.5329185,606361.6144,116223.2844,2390.070068
114.204711,606362.115,116222.8365,2390.320068
114.8765034,606362.6157,116222.3885,2390.550049
115.5482958,606363.1163,116221.9406,2390.780029
116.2200882,606363.617,116221.4926,2391.030029
116.8918806,606364.1176,116221.0447,2391.159912
117.563673,606364.6183,116220.5967,2391.419922
118.2354655,606365.1189,116220.1488,2391.72998
118.9072579,606365.6196,116219.7008,2392.040039
119.5790503,606366.1202,116219.2529,2392.27002
120.2508427,606366.6209,116218.8049,2392.540039
120.9226351,606367.1215,116218.357,2392.840088
121.5944276,606367.6222,116217.909,2393.129883
122.26622,606368.1228,116217.4611,2393.409912
122.9380124,606368.6235,116217.0131,2393.48999
123.6098048,606369.1241,116216.5652,2393.719971
124.2815972,606369.6247,116216.1172,2393.949951
124.9533896,606370.1254,116215.6693,2394.26001
125.6251821,606370.626,116215.2214,2394.47998
126.2969745,606371.1267,116214.7734,2394.620117
126.9687669,606371.6273,116214.3255,2394.969971
127.6405593,606372.128,116213.8775,2395.320068
128.3123517,606372.6286,116213.4296,2395.620117
128.9841441,606373.1293,116212.9816,2395.929932
129.6559366,606373.6299,116212.5337,2396.01001
130.327729,606374.1306,116212.0857,2396.310059
130.9995214,606374.6312,116211.6378,2396.659912
131.6713138,606375.1319,116211.1898,2396.959961
132.3431062,606375.6325,116210.7419,2397.300049
133.0148986,606376.1332,116210.2939,2397.629883
133.6866911,606376.6338,116209.846,2397.909912
134.3584835,606377.1345,116209.398,2398.310059
135.0302759,606377.6351,116208.9501,2398.639893
135.7020683,606378.1358,116208.5021,2398.689941
136.3738607,606378.6364,116208.0542,2399.01001
137.0456532,606379.1371,116207.6062,2399.419922
137.7174456,606379.6377,116207.1583,2399.870117
138.389238,606380.1384,116206.7104,2400.26001
139.0610304,606380.639,116206.2624,2400.689941
139.7328228,606381.1396,116205.8145,2401.080078
140.4046152,606381.6403,116205.3665,2401.439941
141.0764077,606382.1409,116204.9186,2401.850098
141.7482001,606382.6416,116204.4706,2402.199951
142.4199925,606383.1422,116204.0227,2402.26001
